COMMENT_ID,TARGET,CONTENT,TENSION_CATEGORY,SUMMARY,LABEL,UMAP_1,UMAP_2,SUBCATEGORY,SUBCAT_DESC
613,Wildfire prevention prioritization & accountability,We need to make community based burning more accessible so that we can have burns when it is not fire season to reduce fuels during fire season.,Individual v. Collective Mitigation,Make community-based burning more accessible to reduce fuels during fire season,Government Led Efforts,8.770132065,4.656950474,Local Community Leadership Needed ," Communities must take the initiative in wildfire preparedness through neighborhood-level organization, education, and accountability rather than relying solely on government agencies or insurance companies. This includes property hardening, training, and establishing local emergency response networks."
1174,Climate & community resilience,let's work to ensure these communities meet the strictest of standards for fire resistance.  government needs to use taxpayer money to invest in our communities.,Build Faster v. Build Better,Government should invest taxpayer money to ensure communities meet strict fire resistance standards,Build Back Better,8.768074036,6.50041008,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
379,Climate & community resilience,"All new construction should be fire-resistant. In times of high threat, we should implement emergency fire-hardening measures and strengthen community preparedness. Additionally, we need to invest in advanced fire suppression technologies and improve our infrastructure to better protect our communities.",Build Faster v. Build Better,New construction should be fire-resistant and we should invest in advanced fire suppression technologies and improve infrastructure to better protect communities.,Build Back Better,8.752350807,7.108924389,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
1195,Housing & rebuilding,"While everyone wants to build back exactly as we were, we need to consider that this will happen again. We should consider using fire resistant materials when rebuilding.",Build Faster v. Build Better,Rebuild with fire-resistant materials to prevent future disasters,Build Back Better,8.748976707,6.774551868,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
818,Wildfire prevention prioritization & accountability,There should be firebreaks. Clear forest from nearby subdivisions and communities. Clear underbrush from forest floors. Consider prescribed burns.,Individual v. Collective Mitigation,Clear underbrush and consider prescribed burns to prevent fires,Collective Action Needed,8.687852859,4.94844389,Local Community Leadership Needed ," Communities must take the initiative in wildfire preparedness through neighborhood-level organization, education, and accountability rather than relying solely on government agencies or insurance companies. This includes property hardening, training, and establishing local emergency response networks."
516,Infrastructure & utilities restoration,"Power lines are so vulnerable.  How is it that, at least in the hillside areas with very high fire risk, we still have above-ground power lines?  Obviously the water delivery system is antiquated and unreliable for a major fire such as this.  This will happen again (and again) and when the earthquake comes, this entire city will be on its knees.",Public v Private,Above-ground power lines in high fire-risk areas are vulnerable; utilities infrastructure should be upgraded.,Private Sector Failure,8.658583641,12.415788651,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1090,Wildfire prevention prioritization & accountability,Edison must underground power lines,Public v Private,Edison must underground power lines,Private Company Responsibility,8.653260231,13.41600132,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
588,Housing & rebuilding,"Who pays for this? This isn't a solution. It's playing with knives all day and asking for a box of bandaids.

The solution is to build more housing BEFORE disasters so all citizens have homes. The next step is to harden homes in fire zones. The most important step after that is to have a commitment between govt agencies on managing debris, dried out trees, and flammable fuels from the outskirts and inner parts of communities so these fires don't get so out of control.",Build Faster v. Build Better,Build housing before disasters and harden homes in fire zones to prevent future catastrophes.,Proactive Resilience Measures,8.650958061,5.472663403,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
830,Infrastructure & utilities restoration,Require SCE to bury ALL power lines. Make utilities publicly owned.,Public v Private,Make utilities publicly owned and require SCE to bury power lines,Public Over Private,8.627061844,11.293025017,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1031,Financial & legal assistance,"We should buy out homeowners in these areas and turn unsafe zones back into wilderness. If they want to stay, they should have to pay for the true cost.",Build Faster v. Build Better,Buy out homeowners in high-risk areas and turn them back into wilderness,Reconsider Rebuilding Entirely,8.624961853,5.281065941,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1461,Infrastructure & utilities restoration,Underground transmission lines; ensure water hydrants/tanks are at full capacity.,Public v Private,Put transmission lines underground,Public Over Private,8.61455822,13.603012085,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1302,Climate & community resilience,Affordable fire resistant building supplies for all. bi-monthly meetings for residents with officials to provide new improvements to help those who live in fire prone areas,Build Faster v. Build Better,"""Implement improved resilience measures for residents in fire prone areas""","""Build Back Better""",8.606520653,6.404654026,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
758,Climate & community resilience,"We all know what we would prefer our communities ""look"" like, but recognizing the hazards of where we live and HOW we need to build in preparation for those hazards is more important than our cultural ideal of a neighborhood. People should be willing to accept some change in how we construct buildings and develop larger settlements/communities so that fire protection can take priority.",Build Faster v. Build Better,People should accept changes in building construction for fire protection,Build Back Better,8.59453392,7.266483784,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
541,Climate & community resilience,"Promoting the PACE-Property Assessed Clean Energy program and  encouraging residents to rebuild with solar roof tiles would be helpful These materials are more fire resistant & widespread deployment would reduce the strain on the grid

If not solar tiles, other roofing materials that are inherently fire resistant and manufactured using a circular process should be used

LA Rises or another PPP should be assigned the task of bundling the orders  for the materials  They could acquire them @ wholesale prices & distribute them @ cost

PACE could lower costs by using blended finance vehicles incorporating grant $ & concessionary capital to fund projects

These discounts along with fed/state incentives & grants would significantly reduce cost",Build Faster v. Build Better,Rebuilding with fire-resistant solar roof tiles and circular materials would be more resilient.,Promote Resilience Measures,8.562088966,7.215074062,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
696,Infrastructure & utilities restoration,"Power lines should be underground.  People have been urging Edison to do this for decades.  Edison has become expert at deflection when asked about this, but no progress has been made.",Public v Private,"Edison has become expert at deflection on undergrounding power lines, but no progress has been made",Private Sector Ineffective,8.559539795,13.303917885,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1088,Prioritize recovery themes,Ensure there are fire safe community resilience centers throughout rebuilt communities - places that people can walk to and access close to their homes that will be safe for sheltering in place. New neighborhood schools or recreational centers could serve this purpose.,Build Faster v. Build Better,Rebuild with community resilience centers for safe sheltering,Build Back Better,8.547818184,6.310652733,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
272,Housing & rebuilding,Upzone the burned areas to increase the value of the land so that the homeowners can be made whole.,Build Faster v. Build Better,Upzone burned areas to increase land value for homeowners,Rebuild Faster Now,8.54749012,5.366985321,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1301,Climate & community resilience,increased fuel maintenance and removal in non-fire seasons.,Individual v. Collective Mitigation,Increased fuel maintenance and removal is needed in non-fire seasons,Collective Action Needed,8.527747154,4.731760025,Local Community Leadership Needed ," Communities must take the initiative in wildfire preparedness through neighborhood-level organization, education, and accountability rather than relying solely on government agencies or insurance companies. This includes property hardening, training, and establishing local emergency response networks."
934,Housing & rebuilding,"Coop's and land trusts can be instruments to keep land within the hands of the people who have historically lived there but they can also be abused to keep people out. How these different entities are constructed will be important not for recovery today but adaptability into the future.
On the matter of construction there needs to be flexibility in the building codes to allow for the construction of future proof housing. There needs to be building codes in place that allow for hempcreate construction, recycled material construction, earthships, etc. Methods of constructing housing that try not put additional load on our already overstretched earth resources.",Build Faster v. Build Better,There needs to be flexibility in building codes to allow for future-proof housing using sustainable materials and methods,Build Back Better,8.526851654,6.86813736,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
727,Financial & legal assistance,Incentivize communities to make improvements that will make homes more robust in the face of environmental dangers.,Build Faster v. Build Better,Incentivize communities to make improvements for future environmental dangers,Build Back Better,8.52532196,7.599852085,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
720,Debris removal & environmental recovery,"If there is brush and debris that can ignite, make sure it is removed. It's silly to not to protect the areas where rebuilding will take place",Individual v. Collective Mitigation,Remove ignitable debris to protect rebuilding areas,Individual Homeowner Responsibility,8.52250576,5.882263184,Fire Prevention Priority ," The comments strongly advocate for prioritizing fire prevention, maintenance, and preparedness measures over reactive responses, emphasizing the need for proactive government planning, homeowner responsibility, and systematic fire hazard mitigation before disasters occur."
1433,Housing & rebuilding,"All housing rebuilds and new developments in rebuilding areas should be reviewed ministerially and expedited so that permits can be issued within 30-60 days. This should apply to any housing project meeting current building and zoning codes and, of course, to actual rebuild projects. The Mayor and Governor's arbitrary 110% footprint and height requirement only punishes people who need to rebuild their homes or businesses by not allowing them to build what would be allowed for anyone else in the City.",Build Faster v. Build Better,Rebuilds should be expedited and allowed to meet current codes without arbitrary restrictions,Faster is Better,8.517825127,3.60511899,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1679,Debris removal & environmental recovery,Smart habitat restoration. Not clearing out debris etc. that create fuel for fires should not be an option,Individual v. Collective Mitigation,"Here is the extracted and re-written comment in 25 words or less, along with a 3-word label: 
""Not clearing debris should not be an option","Collective Government Responsibility""",8.486039162,5.58211422,Fire Prevention Priority ," The comments strongly advocate for prioritizing fire prevention, maintenance, and preparedness measures over reactive responses, emphasizing the need for proactive government planning, homeowner responsibility, and systematic fire hazard mitigation before disasters occur."
1238,Wildfire prevention prioritization & accountability,Why are electrical lines above ground?,Public v Private,Utilities should be underground,Private Infrastructure Failure,8.471049309,12.965168953,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1416,Infrastructure & utilities restoration,Local residential electric lines should never have been above ground.  They should have been below ground from the start.  The literature on this is 50 years old.,Public v Private,Utilities should have underground lines to prevent fires,Public Over Private.,8.470762253,13.033168793,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1361,Infrastructure & utilities restoration,Underground power lines are a necessity,Public v Private,Underground power lines are necessary,Public Over Private,8.455620766,13.598105431,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
626,Climate & community resilience,I don't understand why we have above ground power lines in fire prone areas.,Public v Private,Above ground power lines in fire prone areas are a concern,Private Infrastructure Failure,8.445016861,12.561546326,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
654,Housing & rebuilding,"On the topic of home rebuilding, I think it is critically important that the new homes are resilient to future disaster and energy efficient. The Passive Housing Standard (being considered by state legislators AB368) would be an excellent fit with super insulation, air-tight construction and better performing windows. This eliminates the pathways the fire used to penetrate houses. Additionally it offers improved air quality, reduced noise pollution, up to 50% energy savings and resilience in power outages. The rebuilds should adhere to reach codes of no gas hookups so the community can again reduce the danger of fires and also greatly reduce emissions/air quality in the community.",Build Faster v. Build Better,Rebuilds should adhere to Passive Housing Standard and reach codes for no gas hookups to reduce fire danger and emissions.,Build Back Better,8.434259415,7.043654442,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
1258,Infrastructure & utilities restoration,Power lines should be UNDERGROUND,Public v Private,Power lines should be underground,Public Over Private,8.433456421,13.489439964,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1422,Climate & community resilience,Don’t just throw this on the residents trying to rebuild manage the land that is prone to fire better,Individual v. Collective Mitigation,Manage fire-prone land better,Collective Primary Responsibility,8.432168007,5.75427866,Fire Prevention Priority ," The comments strongly advocate for prioritizing fire prevention, maintenance, and preparedness measures over reactive responses, emphasizing the need for proactive government planning, homeowner responsibility, and systematic fire hazard mitigation before disasters occur."
732,Infrastructure & utilities restoration,"Update systems, water reclamation, underground power, solar powered street lights, break up the monopoly of the utilities. SCE is irresponsible and has shown a considerable lack of care for its customers and the land.",Public v Private,"""Break up the monopoly of the utilities, SCE is irresponsible.""",Public Over Private,8.409813881,11.366990089,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1592,Housing & rebuilding,Expedited permitting time and the cost of permits for rebuilds should be waived - these rebuilds are not being done by choice but by necessity and a result of government not being prepared and letting an entire community burn to the ground overnight.,Build Faster v. Build Better,Rebuilds should be expedited and permit costs waived as they are a necessity due to government unpreparedness,Speed Over Safety First,8.400788307,3.546159744,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
871,Housing & rebuilding,Government should step in above greedy developers to help survivors. There is no better time than now to start community land trusts while also building community public housing that serves everyone.,Build Faster v. Build Better,Government should build community land trusts and public housing for survivors.,Build Back Better,8.39875412,5.617738724,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
751,Climate & community resilience,This is our opportunity to take a look at what needs to be fixed and also make sure any new builds are equipped for future fires and earthquakes.,Build Faster v. Build Better,New builds should be equipped for future fires and earthquakes,Build Back Better,8.39662838,6.419700146,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1406,Climate & community resilience,"We need a community that can live with fire.  As I understand it, the homes built to the latest standards for materials and design, which also had appropriate defensible space, did much better than other homes in the fires.  We need to ensure that the rebuild follows these standards, which includes financing, ensuring that contractors are properly trained, appropriate materials are available, and agreements that communities rebuilt to these standards are insurable in the future.",Build Faster v. Build Better,Rebuild with enhanced materials and design standards to ensure future safety and insurability,Build Back Better,8.393313408,6.967093468,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
1322,Infrastructure & utilities restoration,Have all power lines put underground,Public v Private,Put power lines underground,Public Over Private,8.376058578,13.42421627,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1476,Infrastructure & utilities restoration,Power lines should be below ground,Public v Private,Power lines should be underground to prevent fires,Public Over Private,8.371006966,13.246383667,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
282,Prioritize recovery themes,"Permitting costs should be waved. We aren’t building an addition, we are rebuilding our lives after a huge tragedy. Give us a break.",Build Faster v. Build Better,Waiving permitting costs helps rebuild lives quickly after tragedy,Build Back Faster,8.341485023,3.670333385,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1443,Housing & rebuilding,County needs to expedite all permits for building houses.  We absolutely can't afford to rent and pay mortgage for as long as this is going to take so don't want permits delayed for months costing us tens of thousands of dollars we don't have to waste.,Build Faster v. Build Better,County should expedite permits for building houses to avoid additional financial strain,Need Rebuild Fast,8.338218689,3.329915762,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1309,Housing & rebuilding,"Efforts to streamline the housing re-permitting process for fire victims should be expanded to include everyone else. By making this process more efficient we could increase the supply of housing, reducing cost.",Build Faster v. Build Better,Streamline permitting for all to increase housing supply and reduce costs,Faster Is Better,8.334300041,3.583424091,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1092,Climate & community resilience,Underground power lines!,Public v Private,Underground power lines would help prevent fires!,Publicly Funded Infrastructure,8.333627701,13.541387558,Anti-Private Utility Control ," Comments express strong opposition to private control of utilities, advocating for public ownership, underground power lines, and greater accountability from both private companies and government agencies in infrastructure management and disaster response."
1213,Infrastructure & utilities restoration,Underground power! Although it's shockingly expensive. Streetlights need to be subdued to prevent light pollution.,Public v Private,"Underground power is needed, although it's shockingly expensive",Public Over Private Priority,8.330144882,13.733779907,Anti-Private Utility Control ," Comments express strong opposition to private control of utilities, advocating for public ownership, underground power lines, and greater accountability from both private companies and government agencies in infrastructure management and disaster response."
1533,Housing & rebuilding,Use Strong Towns principles in the rebuilding process. Prioritize the lowest-income households first. Deprioritize owners with second-homes. Establish clear process and timelines for residents to gain access to aid. Do not bypass environmental concerns.,Build Faster v. Build Better,"""Use Strong Towns principles to build back better, prioritizing low-income households and environmental concerns.""",Build Back Better,8.32321167,4.265729427,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
786,Prioritize recovery themes,Let people rebuild historical homes without excess modern restrictions and codes. There must be room for nuance.  The State must empower local governments to be able to have their communities have a say in what this rebuild looks like.,Build Faster v. Build Better,"Let people rebuild historical homes with nuance, empowering local governments and communities to decide the rebuild process.",Relax Rebuild Rules,8.308322906,4.591969013,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
258,Climate & community resilience,"New homes to be built, could be solar equipped,  landscaping planted to minimize danger to structures, environmentally safe etc…
We need to lessen our reliance on power companies.",Build Faster v. Build Better,New homes should be built with solar equipment and environmentally safe features to minimize danger.,Build Back Better,8.300027847,7.63697052,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
869,Prioritize recovery themes,"Clean the debris FAST. Waive permit fees for the people who are rebuilding, whether that means like for like or smaller or bigger than what they had. Direct GRANT to homeowners.",Build Faster v. Build Better,Waive permit fees and direct grants to homeowners to rebuild quickly,Rebuild Faster Now,8.298875809,4.085519314,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1634,Emotional & mental health support ,"Engage all fire victims so they can help create their community. Offer support, listen. Allow them to build a temporary shelter if they want or need to live on their property while rebuilding.",Build Faster v. Build Better,"Allow fire victims to build temporary shelters on their property while rebuilding, offering support and listening to their needs.",Rebuild With Caution,8.297968864,5.724752426,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
658,Climate & community resilience,"Strongly consider requiring new builds to be resilient by using the Passive Housing Standard, all electric buildings and fire resistant building materials. Electrifying homes and using a PHS combined lead to massive energy savings for homeowners and benefits to the entire community and region by lowering building pollution.",Build Faster v. Build Better,Require new builds to use Passive Housing Standard and fire-resistant materials for energy savings and community benefits,Build Back Better,8.288519859,7.426139832,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
1720,Housing & rebuilding,I think solutions that let people keep their land and rebuild instead of selling to developers is important.,Build Faster v. Build Better,"Rebuilding with resilience is key, not just rebuilding quickly",Rebuild With Resilience,8.286989212,5.21223259,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1259,Infrastructure & utilities restoration,Power lines under ground please,Public v Private,Underground power lines are needed.,Public Over Private,8.284777641,13.326701164,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1221,Infrastructure & utilities restoration,"Underground, underground power lines! 100%",Public v Private,Underground power lines are a must!,Public Utility Control,8.275060654,13.627580643,Anti-Private Utility Control ," Comments express strong opposition to private control of utilities, advocating for public ownership, underground power lines, and greater accountability from both private companies and government agencies in infrastructure management and disaster response."
1483,Infrastructure & utilities restoration,Underground utilities without delay,Public v Private,"""Utilities should be undergrounded without delay""","""Public Pays Upfront""",8.252571106,13.800002098,Anti-Private Utility Control ," Comments express strong opposition to private control of utilities, advocating for public ownership, underground power lines, and greater accountability from both private companies and government agencies in infrastructure management and disaster response."
1673,Wildfire prevention prioritization & accountability,Please put as many power lines underground as possible.,Public v Private,Put power lines underground to prevent fires,Public Over Private,8.242753983,13.376897812,Anti-Private Utility Control ," Comments express strong opposition to private control of utilities, advocating for public ownership, underground power lines, and greater accountability from both private companies and government agencies in infrastructure management and disaster response."
297,Housing & rebuilding,"Housing has been incredibly tough, expensive, and hard to find. Then the fires happened. Now we need housing more than ever and we need housing here so people don’t have to move away and they can still stay in the general area while trying to pick up where they left off. People need to rebuild and live in their homes and sell to families, not corporations. We need to remove barriers to rebuild but also ensure that people don’t get ripped off by bad contractors and that the new houses they build are safe, strong, and resilient, and some properties that were immediately above Eaton Canyon should consider not rebuilding because it is just a matter of time.",Build Faster v. Build Better,"We need to remove barriers to rebuild, ensure new houses are safe and resilient, and consider not rebuilding in high-risk areas.",Build Back Better,8.224396706,5.007749081,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
672,Climate & community resilience,"Reduce permit fees 
Assist in the rebuild reduce cost of supplies to help",Build Faster v. Build Better,Reduce permit fees and supply costs to assist in rebuild,Faster Is Better,8.224389076,3.579892159,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1481,Housing & rebuilding,Permit process needs to expedited without delay and costs need to be minimal for residents to rebuild.,Build Faster v. Build Better,Permit process should be expedited with minimal costs for residents to rebuild,Faster Is Better,8.210054398,3.405761003,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
457,Infrastructure & utilities restoration,Underground utilities!,Public v Private,"""Utilities should be underground!""",Public Over Private,8.195998192,13.819369316,Anti-Private Utility Control ," Comments express strong opposition to private control of utilities, advocating for public ownership, underground power lines, and greater accountability from both private companies and government agencies in infrastructure management and disaster response."
815,Prioritize recovery themes,The county will be the largest barrier to rebuilding and they need to be honest with the people. It will be their fault people sell.,Build Faster v. Build Better,County hinders rebuilding,Slow Rebuild Process,8.181134224,4.891918182,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
1039,Infrastructure & utilities restoration,"All of LADWP’s/SCE’s power lines should be buried. Access in and out of mountain communities needs to be improved, driving should not be the only option (the problem with driving being the only option for evacuation can be seen by all the abandoned cars on sunset). The state/federal govt funded a Santa Monica mountains bus service back in the 70s that snaked around mountains for a summer season, bringing that back will help alleviate congestion and can provide more evacuation alternatives.",Public v Private,LADWP/SCE power lines should be buried to improve safety,Public Over Private,8.179074287,11.517436981,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
357,Debris removal & environmental recovery,"Needs to be expedited, Phase 2 is only 3% done.",Build Faster v. Build Better,Phase 2 is only 3% done and needs to be expedited,Rebuild Quickly Now,8.155076981,3.359032631,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
645,Climate & community resilience,"Building resilient energy efficient homes. Reconsidering the materials used, repurposing as much as possible. Sharing tools and resources within communities. Investment in community and School Gardens",Build Faster v. Build Better,Repurposing materials and investing in community gardens to build back with resilience.,Build Back Better,8.144808769,7.629811287,Smart Climate-Resilient Rebuilding ," Comments advocate for rebuilding with climate resilience in mind, focusing on modern infrastructure improvements like underground power lines, fire-resistant materials, and sustainable building practices while allowing temporary housing solutions during reconstruction."
1480,Infrastructure & utilities restoration,"6 of the 10 most costly fires in California have been caused by power lines. Its way overdue to put them underground. If Europe can do it, so can we.",Public v Private,Power lines should be put underground to prevent fires.,Public Over Private,8.126943588,12.557412148,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1640,Infrastructure & utilities restoration,MUST have underground power lines!  Its 2025 for goodness sakes.  The water systems are also archaic and are long overdue for an overhaul,Public v Private,Underground power lines are a necessity!,Public Over Private Responsibility,8.12121582,13.095971107,Bury Power Lines Now ," The overwhelming consensus is that power lines must be moved underground to prevent fires, with strong agreement that utility companies should bear the cost and be held accountable rather than passing expenses to consumers."
1307,Prioritize recovery themes,Please expedite permitting and waive the necessary fees,Build Faster v. Build Better,Expedite permitting and waive fees to rebuild quickly,Rebuild Faster Now,8.119022369,3.301176071,Streamline Rebuilding Regulations ," Residents strongly advocate for reducing bureaucratic barriers, waiving permit fees, and simplifying building codes while maintaining essential safety standards to expedite post-fire reconstruction and prevent excessive costs for affected homeowners."
