comment_id,comment,topic,opportunity_area
1443,County needs to expedite all permits for building houses.  We absolutely can't afford to rent and pay mortgage for as long as this is going to take so don't want permits delayed for months costing us tens of thousands of dollars we don't have to waste.,Housing & rebuilding,Rebuild quickly or rebuild for resilience
1442,We absolutely need an emergency alert system that does NOT depend on cell/wifi connection and electricity.,Emergency planning & community safety,
1441,"Get out of the way, stop wasting our time and money, and let Los Angeles prosper.",Prioritize recovery themes,Rebuild quickly or rebuild for resilience
1440,"What is wildfire adaptation? Fire-resistant design and preparedness training are not the City's role; let Angelenos, their architects, and private organizations do this.",Climate & community resilience,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
1439,This is not the City's role.,Debris removal & environmental recovery,
1438,"The statement is vague, but some may be necessary depending on the resources. Firefighting resources, for example, should be readily available for firefighters. The City should share critical updates. Warehousing resources in one place, again depending on what they are, seems like a terrible idea.",Emergency communication,
1437,City government should have no role in providing counseling or trauma support other than links to resources.,Emotional & mental health support ,
1436,The City has no money to do this; let charitable Angelenos take care of each other. Stop wasting our time and money.,Financial & legal assistance,
1435,"The City does not have money to give out and is terrible at managing large-scale projects. Before creating a new spending program, focus on cutting the egregious waste that led to our billion-dollar deficit. Let charitable Angelenos and the community charities we support care for people who need help.",Economic recovery & small business support,
1434,Critical. The City should focus on effectively performing duties only the City can perform.,Emergency planning & community safety,
1433,"All housing rebuilds and new developments in rebuilding areas should be reviewed ministerially and expedited so that permits can be issued within 30-60 days. This should apply to any housing project meeting current building and zoning codes and, of course, to actual rebuild projects. The Mayor and Governor's arbitrary 110% footprint and height requirement only punishes people who need to rebuild their homes or businesses by not allowing them to build what would be allowed for anyone else in the City.",Housing & rebuilding,Rebuild quickly or rebuild for resilience
1432,"Focusing on what the City can fund at a time of unprecedented deficits is absurd, and the City is unable to hold its agencies accountable. Angelenos should hold the Council responsible for the City's failures at the ballot box. City government should ensure that fire prevention requirements are clear to allow private citizens and enterprises to implement them without bureaucratic delays.",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1431,This is essential and should be done by private enterprise to the extent feasible. Large infrastructure contractors can do this much faster than Public Works or LADWP and likely more cost-effectively. This is not the time for political egos to eye ad opportunities for the next election; move out of the way and let the city rebuild.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1430,"We need to hold fossil fuel companies accountable and make them pay for the costs incurred now, through fires, extreme weather and heat, flooding, drought, and more. The fossil fuel companies have profited off the backs of all of us and our natural systems and resources. They must give back and stop driving the destruction of our communites.",Prioritize recovery themes,
1429,"Make sure all homes and buildings rebuilt can withstand future climate risks and impacts like fires, heat, drought, extreme storms, flooding. Make sure communities are resilient to start before disasters hit. Use and work with nature and natrure-based solutions to mitigate the climate hazards.",Climate & community resilience,Rebuild quickly or rebuild for resilience
1428,"Ensure rebuilt infrastructure is climate resilient, including underground power lines, upgrading to support full electrification of buildings and battery storage, and micrograms. Make transportation infrastructure prioritize active forms of mobility like walking, cycling and public transit. Utilize green and natural infrastructure that helps manage stormwater, provide shade and heat resilience, and health benefits.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1427,"Rebuild homes that are climate resilient, all electric, and are certified green homes and buildings. Ensure communities are replanned and redesigned to prioritize equity in housing everyone; providing infrastructure that focuses on enabling public transit, cycling, and walking; ensuring access to parks, green space, urban forestry and tree canopy; and local business opportunities that supports the clean economy.",Housing & rebuilding,Rebuild quickly or rebuild for resilience
1426,"Make fossil fuel polluters pay for deceiving the public about fossil fuel use and driving the climate crisis that has led to increased extreme heat, drought, and other conditions that have led to higher fire risk. Also, there must be focus on more utilization of prescribed and cultural burns to manage fuel loads, as well as avoiding building and redevelopment in areas of high risk.",Financial & legal assistance,Rebuild quickly or rebuild for resilience
1425,I’m getting information from my neighbors. Love having a block captain.,Emergency communication,
1424,Make sure every lot is cleared even if it requires imminent domain,Debris removal & environmental recovery,Individual or collective responsibility for fire prevention
1423,Bury the utilities and mandate solar,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1422,Don’t just throw this on the residents trying to rebuild manage the land that is prone to fire better,Climate & community resilience,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
1421,Create a network of sprinklers on the perimeter of the city to quickly extinguish fires using heat sensors,Emergency planning & community safety,
1419,Preventing and foreseeing disasters is the best strategy.,Emotional & mental health support ,
1418,"I think this is already pretty good.  The room for improvement is in updating zoning-permitting especially for smaller, affordable starter homes. and Zero parking spaces for new construction within 1.5 miles of light-rail stations.",Climate & community resilience,"Making space for more residents, or limiting housing density"
1417,No nothing missing.,Prioritize recovery themes,
1416,Local residential electric lines should never have been above ground.  They should have been below ground from the start.  The literature on this is 50 years old.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1415,No nothing missing--except thought for attracting and keeping working families making housing affordable again.,Prioritize recovery themes,
1414,This really equires the Mayor and Supervisors to create a list of projects and see which they can partner with the State and Federal Gov to reduce or eliminate corporate gouging and unfairness.,Economic recovery & small business support,Public or private sector responsibility for utilities and infrastructure
1413,"As above, all permitting and zoning needs to be updated aligned with current housing, transportation and bike-pedestrian-friendly construction.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1412,This seemed to work very effectively.  I think improved planning will occur naturally.,Emergency planning & community safety,
1411,"The Mayor and Supervisors need to pass new laws and regulations to reduce the price of emergency housing.  Charging retail rates is corrupt, feathering the nest of our worst segment, the rentiers.",Housing & rebuilding,
1410,This went pretty smoothly in the area in and above Pasadena,Debris removal & environmental recovery,
1409,Most everything now burned already!  What's more neeeded is making Edison and DWP publicly owned and managed.,Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure
1407,Both our electric systems and water systems should make more use of local supplies -- micro-grids for the electric system and water capture and grey water for the water systems.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1406,"We need a community that can live with fire.  As I understand it, the homes built to the latest standards for materials and design, which also had appropriate defensible space, did much better than other homes in the fires.  We need to ensure that the rebuild follows these standards, which includes financing, ensuring that contractors are properly trained, appropriate materials are available, and agreements that communities rebuilt to these standards are insurable in the future.",Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1405,"We need to better manage the brush lands, but they evolved to burn, so we also have ensure that our built environment can live with fire.",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1404,"Codes need to be updated to maintain vegetation perimeters, so the fires can't spread from vegetation to houses.  If the home owner can't afford tree-trimming and so forth, the cities must help pay for this, because the cost of neighborhoods burning down is far worse.",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
1403,Stop building in all fire-prone areas!,Prioritize recovery themes,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1402,Use solar power,Infrastructure & utilities restoration,
1401,Make LA and LA county a fire-wise community.,Housing & rebuilding,Individual or collective responsibility for fire prevention
1400,For certain survivors,Housing & rebuilding,
1399,Bridge the GAP,Financial & legal assistance,
1398,Budget constraints should not impact whether or not these mitigations are completed.,Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1397,"Use additional, non-complex-technical solutions (air raid sirens), neighborhood alerts, RYLAN",Emergency planning & community safety,
1396,Multi-agency AES needs better coordination and reliability,Emergency communication,
1395,"Subsidize local, small businesses",Economic recovery & small business support,
1394,Local support groups neighbor to neighbor.  Teen talk model for support,Emotional & mental health support ,
1393,Provide more transparent plans for future of undergrounding and locations as that will influence plans.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1392,"The small business support that exists right now is a complete joke. They are high interest loans that are few and far between, businesses in palisades are battling with their internet provider for early cancellation - it’s not early cancellation. There is nothing to go back to!! Some of them are on the hook for over $10,000! These are everyday people
Who showed up day in and day out for our community and the county/city/state is turning their backs on them. 

Why are their no streamlined grants? Incentive them to say.",Economic recovery & small business support,
1391,"Underground power lines, holding Edison corporate accountable, not letting Edison pass on their mistakes onto the cost of their customers. Every time they go into litigation or bills go up. 

When they need to shut off power due to weather - my husband can’t work. So he doesn’t get paid. 

The way palisades and Altadena need to be rebuilt needs to be smart. All street lights need to be solar, solar cross walks, a better environment and a safer environment for kids.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1390,"California is the state where many of the most influential tech startups and businesses exist. Yet, watch duty gives more reliable updates than any other communication app than a county/state/city one! California needs to step up and get on the level of what true communication is. We need to make sure ALL cities are informed. And that the CORRECT citizen is informed. Not scaring citizens from the wrong side of the bay that they are supposed to be evacuating at 3 AM.",Emergency communication,
1389,"When the fires broke out it was made very clear they were going to be very strict on rent gouging but I have not seen any accountability on this. I have also never seen accountability on this across the board. Rent has been unattainable for so many for so long. There are also many people who face wage garnishments for terrible situations when they try to work with a leasing office and do the right thing and get out of a lease when something tragic happens like a loss/helping out a family member etc and the leasing office/property won’t work with them at all and then you have 1,000’s of California residents who are garnished up to 25% of their weekly pay! California need to stop allowing any garnishments by greedy companies + price gouging",Housing & rebuilding,
1388,"I keep saying this and I will say it again - the soil that is present at both Eaton and Palisades will be comparable to Rocketdyne. This is because we had battery acid leak and melt, we had electric car batteries melt, we had electronics melt, we had Freon from air conditions, heaters melt, asbestos, wallpaper, all the old building materials from the old homes burn into the soil, chemicals from the garden and pool, all of this seeped into the soil and then we had this drastic rain and it was pushed into the soil deeper or down the mountain because there was no homes, grass, or anything to block it. This has all gone into the ocean. We also have a toxic algae bloom. I think the state was so anxious to get back to normal we rushed it 2quick",Debris removal & environmental recovery,
1387,"I think all CERT training needs to be essential. When I was at school at St Rose Simi Valley in 2001 we had an entire week dedicated to learning what it was like to prepare. I think we’ve forgotten it. My nephew didn’t even react the other day when we had a 4.5 earthquake. He didn’t even acknowledge it. We need to prepare children from a young age. All cities should look at Laguna Beach, they offer free or $50 first aid/earthquake kits. All Middle and HS should require students take CERT classes. Making supplies accessible and affordable at all times. We are the most profitable state in all of the country. Reliable warning systems as well. Not ones that go off for t",Emergency planning & community safety,
1386,"Communities in LA are quite disconnected and vulnerable in the face of emergency.  We need systematic emergency preparedness on the part of citizens, and we need more robust and resilient emergency response systems in government.",Prioritize recovery themes,Individual or collective responsibility for fire prevention
1385,"This has to become the rule in neighborhoods, block clubs, community organizations and cities in the County.  Citizens need to be prepared, informed, and ready to handle whatever comes their way in an emergency, assuming that no one is coming to save them.  We need to have EMT/CPR skills on our blocks, have a communication system that is analog in the case of no communication, and a way to account for and support each other in scenarios where city and county services are over-taxed and not able to provide the level of support needed.  We need to get EMERGENCY READY, whether for fires, floods, earthquakes, or more unthinkable events such as sabotaging our communications and other infrastructure, which are currently very vulnerable.",Emergency planning & community safety,
1384,"The economy already favors the wealthy and successful, so these emergencies require special protections and provisions for underserved small businesses that need extra help to recover.",Economic recovery & small business support,
1383,"There should be zoning, codes, permitting and other policies that limit or eliminate building in fire-prone areas unless customers are willing to pay for the materials to be fire resilient and willing to forego the protection from standard services in the case of an emergency.",Climate & community resilience,"Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention;Making space for more residents, or limiting housing density"
1382,"What's sort of interesting from where I sit, is that everyone seems to be quite concerned about the toxic aftereffects of the fires.  People are concerned about contamination of soils and toxic debris lining the walls of their houses.  They are concerned about getting their properties remediated, but they aren't making a connection about how they are living with these materials day to day, nor are they thinking about where this waste and debris is going.  There is no AWAY.",Debris removal & environmental recovery,
1381,"Insurance is a key lever that needs to be addressed here, in service to the whole of the economy.  Insurance providers have known for DECADES about the risks they face with respect to climate, and as an industry, they have not acted with enough innovative approaches to changing incentives for more regenerative decisions.  They have not faced the truth of what is facing all of us with respect to climate risk, and they are brittle and wholly unprepared from a business model perspective to respond to the realities of what they are facing.  We need to redesign business models, incentives, and policies to face the realities of the calamities that we are facing as a community.  There is only going to be more of the same in the future.",Financial & legal assistance,Public or private sector responsibility for utilities and infrastructure
1379,"Needless to say, this is essential and non-negotiable, especially in the face of worsening climate conditions.  We need to be as preventive as possible going forward, facing the reality of climate change currently, and planning for more constrained and catastrophic climate futures.  We need to make choices about where NOT to rebuild.  We need to have fire departments that are fully funded and trained for emergencies.  This is a global emergency, and we need to treat it as such and plan for it as such.",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience
1378,"Needless to say, there were substantial failures of communication during the fires.  Emergency alerts were not evenly distributed.  Emergency communication needs to account for the many different ways people receive news and emergency notifications.  Not everyone owns a mobile phone, and even those who do don't always use that technology in a way that is reliable in an emergency.  Organizing neighborhood watch groups and manual ways of notifying and communicating with vulnerable citizens is essential.  Also, making sure the system works, with regular testing for effectiveness and accuracy, is essential.  We got a number of false alarms (at least three) that woke us up early in the morning or in the middle of the night.",Emergency communication,
1376,"These need to be considered in light of growing climate risk.  All of this infrastructure has been under-maintained throughout the country no matter the climate, so now we must plan for further climate risk as we restore these essential community services.  We should be planning in particular for the future of mobility that minimizes individual automobile use and maximizes seamless public transportation.  We also need to pay special attention to grid reliability and modernization.",Infrastructure & utilities restoration,
1375,"Rather than temporary housing, a priority should be placed in Accessory Dwelling Units (ADUs), home rebuilding, long-term housing solutions",Housing & rebuilding,
1373,"The insurance landscape in California needs to be addressed. The FAIR plan is terrible, and private insurance companies take to long to process claims. There need to be faster ways for survivors to get access to funds after their home is destroyed.",Financial & legal assistance,Public or private sector responsibility for utilities and infrastructure
1372,More regulation of insurance and insurance companies. Too many people can no longer afford it,Prioritize recovery themes,Public or private sector responsibility for utilities and infrastructure
1371,Make it easier to get temporary housing,Housing & rebuilding,
1370,Communities in WUI (wildland urban interface) environments should have high-powered sprinkler systems installed along their perimeters and/or throughout the community to give it extra protection in advance of a fire.,Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1369,Affordable fire resistant building supplies is a necessity. More native plants that aren't extremely flammable,Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1368,There has to be a more reliable warning system. People dumping their cars and blocking the road should never have happened. Come up with community evacuation plans,Emergency planning & community safety,
1367,Coordination with home owners. Require soil testing,Debris removal & environmental recovery,Rebuild quickly or rebuild for resilience
1366,A more reliable alert system would be great. Make it accessible for everyone,Emergency communication,
1365,All the departments (local and state) need to work together. Hold utility companies fully accountable,Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure
1364,"Make it so all the small businesses can come back. Grants, incentives, or any sort of help should be given",Economic recovery & small business support,
1363,"*The first thing I would advise is to ensure that the CPUC requires AT&T to maintain its ""carrier of last resort"" status, which generally also requires them to maintain landlines. We have pitiful cell service in the Canyons-and 5G can't/won't fix that, as its intense network infrastructure is generally incompatible with rural-mountain topography and economics.",Emergency communication,Public or private sector responsibility for utilities and infrastructure
1362,Free counseling. No referrals or insurance needed. It's been almost 3 months and I know people are still not okay,Emotional & mental health support ,
1361,Underground power lines are a necessity,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1360,Debris removal is very important our way of life once burned is so so toxic to the environment and to survivors.  Contracts for this should be a priority!,Debris removal & environmental recovery,
1359,"If we care for people’s mental health now there will
Be less fallout down the road",Emotional & mental health support ,
1358,"Tenant support is essential.  Undocumented workers have to be a low
Priority unfortunately.  Red tape is a killer anyway yo help with that is vital.  Using an online forum would be a good start for people to use",Financial & legal assistance,
1357,"This is critical, of course, but many of us have already done this for a long time. Topanga has been a Firewise community since 2021, and we also have a very active Arson Watch, Firesafe Council, CERT, and Emergency Preparedness group in our midst. So, for us-this action isn't a ""recovery priority"" so much as it is [already] a way of life. 
*The only additional items I would request for our community would be to install a buried/retractable high-powered sprinkler system around the entire perimeter of our community and/or where it comes into contact with open space/the wildland urban interface (WUI). This system could be hooked up to non-potable water tanks (that are filled with captured stormwater) and ""powered"" with solar.",Climate & community resilience,
1356,"Again getting bonds together and finding resources is a priority and time is of the essence call
For special elections to help manage decisions",Infrastructure & utilities restoration,
1355,"County or city building processes have to be streamlined and charges kept manageable
For people
To recover successfully.  Plans and permits can’t be mired in municipal offices for undue amounts of time.",Housing & rebuilding,Rebuild quickly or rebuild for resilience
1354,Toxics removal is very important for long-term community health.  We need to understand what sort of toxic were produced by the fire and not be in such a rush to rebuild that we create long-term problems in the process.,Debris removal & environmental recovery,Rebuild quickly or rebuild for resilience
1353,"In high-risk areas, further development must be tied to adequate evacuation routes",Emergency planning & community safety,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1352,"Renters need support from the County just the same as homeowners. I, a long with so many others, have not received our security deposits back despite the 21 day law. It then becomes our responsibility to start, and pay for, a Small Claims case, and good luck collecting it. We are busy trying to find a place to live, filling out paperwork and dealing with insurance/FEMA, and trying to apply for grants that never seem to materialize. We need help.",Prioritize recovery themes,
1351,"We are not able to proceed with retaining a contractor and rebuild when our insurance company is holding out paying what they owe us, which are the limits we paid for.",Financial & legal assistance,
1350,"Do NOT skip CEQA or EIRs, we are still THE biggest urban oil field in the nation and had the biggest urban wildfire in history, not testing the soil and ensuring there are no remnants of toxic oil chemicals is very important. No one deserves to live on top of toxic land.",Prioritize recovery themes,Rebuild quickly or rebuild for resilience
1347,"Two friends of mine lost EVERYTHING, and I have thought of them every single day since the fire. People need to process this and they need all the help they can get.",Emotional & mental health support ,
1346,"We live in California, home of the tech bros. Why can we have a functioning app that anyone and everyone can tap into for resources?",Emergency communication,
1345,"We must not, under ANY circumstances, bail out SoCal Edison the way Newsom bailed out his buddies at PG&E after Paradise. Enough is enough!",Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure
1344,"We need for all departments to work together, especially Urban Forestry, City Planning, Sanitation, LADWP, LAFD, Street Services along with City Council and the Mayor's office. It is quite unreasonable and irresponsible that more than half of our budget goes to the police and lawsuits to settle their brutality. Adding insult to injury, it is malpractice that L.A. city has not yet cancelled the Olympics in 2028 given we have a $1 Billion deficit in our budget. Accountability begins by looking objectively at the situation we are in, not at the situation you hope we were in or trying hard to please corporate campaign donors.",Wildfire prevention prioritization & accountability,
1343,Home owners should be able to use Natural gas. It's more reliable and affordable than all electric mandates. Not allowing apartments in single family areas.,Infrastructure & utilities restoration,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1342,"We must replant NATIVE plants that are by design much less flammable, like the California chaparral and stop cutting it down. Conversely, we must take down all palm trees down, not only they are giant match sticks when we get a wild fire, they provide little to no oxygen, they attract rodents and help the transmission of Leptospirosis, they provide little shade and now the department of sanitation wont take any of the debris from it as it takes a very long time to decompose, so that would go to a landfill to generate methane instead. We also need to consult with Native Tribes who are the original stewards of the land and used to have controlled fires to avoid having these mega fires. Private firefighters must be banned.",Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1341,The permit process needs to be improved,Financial & legal assistance,Rebuild quickly or rebuild for resilience
1340,"We must support those who lost their businesses and were employing local workers. For communities to prosper, we must incentivize the local economy to ensure everyone not only recovers, but everyone thrives.",Economic recovery & small business support,
1339,"About half of all residents are renters and they are disproportionally affected by disasters and are financially burdened by a system that is designed to extract as much money as possible out of them. Many pay more than 50% of their income just in housing alone. With horrendous policies coming from the federal government, undocumented residents are unfairly targeted and exploited even more than other residents. We should be focusing efforts on equity, social and environmental justice to ensure those who are on the verge of homelessness don't end up being unhoused. We need to promote more low-income and no-income housing in every neighborhood.",Financial & legal assistance,
1338,"The state & many cities are planning for more growth & density, w/o paying attention to flood plains & fire prone areas. Even if the area is a ""high opportunity area"" if it's a flood plain per FEMA, it's highly irresponsible to put more people in the path of danger. We're now having more 100-year and 500-year storms and we must adapt to climate change, not ignore it. Same goes for tsunami zones, sea level rise & erosion, we should stop advocating for false solutions like sea walls & advocate for managed retreat instead. The city must have real community engagement and conduct drills so residents can be prepared for natural disasters. Language access is crucial, not only simple to understand, but translate messages to languages people speak.",Emergency planning & community safety,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1337,We are ONE CA and All utility caused wildfire victims need to be treated equally.,Prioritize recovery themes,
1336,All systems should bre tested regularly,Emergency communication,
1335,All Utility companies need to be made FULLY accountable. PG$E was NOT made fully accountable only 70% accountable. Victims throughout CA need to be fully compensated-100%!,Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure
1334,More incentives for businesses to come back. We are still destitute in Paradise CA,Economic recovery & small business support,
1333,Update how to warn people. In Paradise CA the warning technology all failed. All cities should be required to test. If LA tested their systems after the Campfire 7 years ago they would have known their current system or technology needed to be improved.,Emergency planning & community safety,
1332,Free counseling as needed,Emotional & mental health support ,
1331,"Streetlights should be solar with small batteries, so there is no copper wire to be stolen. All housing should be built with no gas, we are supposed to be all electric in Los Angeles by 2035 anyway and in California by 2045 (per SB 100) so why invest in repairing gas infrastructure that will be obsolete/stranded assets soon and a source of ignition for fires after an earthquake or other natural disaster. It is also absurd that it is 2025 and we are still flushing our toilets and irrigating our yards with drinking water, if we are rebuilding, we should do so with greywater systems that reuse water from our sinks, showers and laundry  for watering landscapes and flushing.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1330,Coordinate better with the home owners,Debris removal & environmental recovery,Individual or collective responsibility for fire prevention
1329,All power should be underground AND not at the expense of the rate payer.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1328,"Consistency for One California is a must. My community of Paradise Ca had substantial costs with permits, surveys, septic, architect costs. Fleeced by our own town.",Housing & rebuilding,Rebuild quickly or rebuild for resilience
1327,Rebuild to new codes and fire safe is not affordable. Even if you do rebuild to fire safety Insurance lies and does not insure regardless of how safe,Climate & community resilience,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1326,"Those who had good insurance or money to rebuild were able to take advantage of grants early on. The grants offered are first come first serve. In my community of Paradise CA, fixed income, low income and lower med. income were offered loans because they received tiny payouts from the PG$E bankruptcy stretched out over 6 years. Most were not able to rebuild.",Financial & legal assistance,
1325,"We need to make sure whatever policies we have are consistent and reliable, somehow able to withstand changes in administrations or market conditions.",Financial & legal assistance,
1324,"The multiple false alerts during the fires caused a lot of confusion and momentary panic, which could’ve been avoided. Perhaps a centralized system that’s vetted by a supervisor would prevent these mistakes in the future.",Emergency communication,
1323,We were never notified to evacuate,Emergency communication,
1322,Have all power lines put underground,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1321,Reforestation efforts are an important factor in helping to restore the environment,Debris removal & environmental recovery,
1320,Reforestation efforts are an important factor in helping to restore the environment,Climate & community resilience,
1318,"Disability child or adult need much more help, but sadly we have such a limited help.",Prioritize recovery themes,
1317,Fire resistant design is a community effort.  Everyone needs to be a part of it.,Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1316,"We used FEMA debris remove, but they didn't take away the damaged driveway or damaged walkway or burned trees and we are going to spend our money to finalize the debris removal.  Insurance company's coverage is so limited for Coverage B.  I feel this is not right.",Debris removal & environmental recovery,
1315,Our loss of use coverage is up to 2 years.  I don't think we can rebuild our home in 24 month from this point... We need more help after 2 years from the fire.,Housing & rebuilding,
1314,We are middle income family-working class.  We need grants and we need the help.,Economic recovery & small business support,Individual or collective responsibility for fire prevention
1313,The organizational ecosystem in LA is disjointed and did not coordinate well. Work should be done now to improve basic community organizing skills and methods.,Emergency planning & community safety,
1312,"Emergency messaging regarding Evacuation Warnings and Orders from government officials should be tied to key terrain and widely-recognizable infrastructure. Furthermore, these Warnings/Order zones should be tied to the lines of communication/routes that people would use to leave.",Emergency communication,
1311,"Edison should make underground system for Altadena.  It will be costly, but it is necessary.  We cannot make another town like second Altadena.",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1310,"We should add the sidewalk to around Altadena.  Also, parking restriction need to create for the safety.",Infrastructure & utilities restoration,
1309,"Efforts to streamline the housing re-permitting process for fire victims should be expanded to include everyone else. By making this process more efficient we could increase the supply of housing, reducing cost.",Housing & rebuilding,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1308,"We are using our health insurance to get the counseling for the entire family, but our special need child need much more support.  We relocated and the regional center transfer is stopped and we don't receive any support after the fire.  just adding more stress to our family.",Emotional & mental health support ,
1307,Please expedite permitting and waive the necessary fees,Prioritize recovery themes,Rebuild quickly or rebuild for resilience
1306,"My husband received evacuation order by alert, but , my iPhone didn't receive any.  Evacuation order should not alert 3 am without notice...The county should have notice us 8 pm or the time fire started...",Emergency planning & community safety,
1305,"Fireaid gathered so much money, but much less individual contribution.  They gave organization, but not individual.  We lost our home and we have 2 children and one is a special need...we are the one suffering mentally, financially and physically.",Financial & legal assistance,
1304,"Clear and concise communication and instructions in the event of any disaster. Seems like no one knew what to do, where to go, or how to get there.",Emergency planning & community safety,
1303,"I agree, there should be more support for our most vulnerable in our communities! Seniors, veterans, disabled, people with less than who were displaced/affected from any disaster including fires.",Emotional & mental health support ,
1302,Affordable fire resistant building supplies for all. bi-monthly meetings for residents with officials to provide new improvements to help those who live in fire prone areas,Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1301,increased fuel maintenance and removal in non-fire seasons.,Climate & community resilience,Individual or collective responsibility for fire prevention
1300,Depends on the community.  I sense this is more needed in Altadena than Palisades.,Economic recovery & small business support,
1299,The new reimagined community should be better than the now-burned community.  Use smart planners and experts to implement new ideas for Palisades 2.0.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1298,"Before the fire, I talked to local Palisades firefighters about firebreaks-- both natural and those that LAFD would ""create"" in the time of fire.  Those theories proved worthless in the face of this fire.",Wildfire prevention prioritization & accountability,
1297,Retain qualified logistics and traffic experts to handle these issues.,Emergency planning & community safety,
1296,"1.  Requirement for confirmation sampling after debris removal; 
2. City of LA DBS to apply existing residential standards of soil condition as a prerequisite of issuing building permits in the burn zone.",Debris removal & environmental recovery,Rebuild quickly or rebuild for resilience
1295,"Better coordination is needed between insurance companies and state agencies, so that residents of threatened areas can receive $ for temporary housing BEFORE evacuation is mandatory and can continue to receive it until essential services are restored to their homes. Right now, most people only receive assistance as long as evacuation is mandatory and only until the order is lifted, regardless of whether power, water and other essential services have been restored.",Housing & rebuilding,Public or private sector responsibility for utilities and infrastructure
1294,More funds are needed to help residents remove dead trees and other fuel on private lands.,Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
1293,"In my community, drought and beetle infestation have led to tons of dead trees, fuel for wildfires. But tree removal is very expensive, and many residents simply can't afford to cut down and remove the dead trees on their properties. PG&E spent a lot of $ taking down trees near power lines, and that's good (though those lines should all be underground), but there are thousands that need to come down that are not near the lines. FireWise grants have helped, but much more needs to be done.",Climate & community resilience,Individual or collective responsibility for fire prevention
1292,"Regarding evac routes: like Paradise, CA, my town has only one road that leads into and out of the area. It's a narrow, winding two-lane road, making evacuation slow. It's essential that people be able to leave well before evacuation becomes mandatory (see my earlier note about temporary housing coverage gaps), so that we aren't all trying to navigate that route at the same time under duress. 

There are two other potential evac routes--an unpaved route through a State Forest and a paved road that's half collapsed due to erosion. Both are currently impassable and essentially death traps, but they could be turned into functional evacuation routes if funds were made available. I'm sure similar opportunities exist in other communities.",Emergency planning & community safety,"Making space for more residents, or limiting housing density"
