COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
953,Emergency planning & community safety,Wildfire preparedness,These systems are worthless if not implemented,6.453505516,4.97090292
980,Emergency planning & community safety,Wildfire preparedness,"CODE ENFORCEMENT NEEDS TO BE PROACTIVE, NOT REACTIVE. If we scratched the contract with WM for street sweeping in Palmdale, CA- we could replace that with 12 full-time code enforcing agents, and include a comprehensive benefits plan for them too. 

They would be tasked with ensuring compliance from landlords, and home owners. Everyone needs to be responsible for what they own and it's part in creating chaos' potential...

Also, Everyone needs to know their neighborhood's emergency response plan for all types of emergencies.",6.742985249,4.495069027
981,Emergency planning & community safety,Wildfire preparedness,"These code enforcement agents would cost the same as the WM plan's expense in Palmdale, and be 5 times more effective...",7.22878027,4.441262722
1003,Emergency planning & community safety,Wildfire preparedness,"This is a great idea. Plans are wonderful, but they must be tested. Let's not wait to test them until lives are at stake.",6.444767475,4.62979269
1065,Emergency planning & community safety,Emergency response improvements,However a service like WatchDuty would be a great service for the state to partner with. They are a non-profit and bave a ton of volunteers at their disposal to provide real time updates.,6.799001217,2.696718693
1066,Emergency planning & community safety,Wildfire preparedness,"Those exist, they're called humidity sensors and they're provided by the national weather service.",5.733190536,4.209531307
1072,Emergency planning & community safety,Wildfire preparedness,This effort needs to be led by the local community.,5.785725594,4.287491798
1181,Emergency planning & community safety,Emergency warning systems,"Modern and effective warning systems and coordination of agencies will save money in the long run and better support community before, during, and after weather events and natural disasters.",6.80063343,3.719571114
1268,Emergency planning & community safety,Wildfire preparedness,"Task Force time needed. Organize the players in this fight and keep on them until a concensus is reached. Then implement the devil out of it! We know pretty much what needs to be done already. Start with the easiest to implement, issue the changes and enforce them. Don't stop working on the Version 2.0 changes and roll them out. Keep going! RINSE AND REPEAT!",6.07277298,4.212105751
1338,Emergency planning & community safety,Wildfire preparedness,"The state & many cities are planning for more growth & density, w/o paying attention to flood plains & fire prone areas. Even if the area is a ""high opportunity area"" if it's a flood plain per FEMA, it's highly irresponsible to put more people in the path of danger. We're now having more 100-year and 500-year storms and we must adapt to climate change, not ignore it. Same goes for tsunami zones, sea level rise & erosion, we should stop advocating for false solutions like sea walls & advocate for managed retreat instead. The city must have real community engagement and conduct drills so residents can be prepared for natural disasters. Language access is crucial, not only simple to understand, but translate messages to languages people speak.",5.251571655,2.921052217
1421,Emergency planning & community safety,Wildfire preparedness,Create a network of sprinklers on the perimeter of the city to quickly extinguish fires using heat sensors,5.535972118,4.77737093
1487,Emergency planning & community safety,Wildfire preparedness,Task force has to be made up of local residents who know all areas of the Pacific Palisades.,4.896966934,3.711293936
1567,Emergency planning & community safety,Wildfire preparedness,"It seems to me that there are too many agencies at too many different levels trying to be the central coordinator - but all using different systems, processes, etc. I think that that is the reason that grassroots efforts like Watch Duty sprout. Rather than trying to get people away from that, why not lean in to Watch Duty? Similar comment to previous: it needs to make sense to average citizen, leverage (not duplicate) existing infrastructures (e.g. smartphone apps) and be robust enough to hold (e.g. cell towers). Better to train local community to take care of vulnerable (e.g. elderly with no smart phone), than setting up large expensive public infrastructures to do so.",6.829854965,2.981831551
1583,Emergency planning & community safety,Wildfire preparedness,"Local jurisdictions should be kept up to date on emergency planning. I realize that many local jurisdictions don't have a lot of resources to keep this as a priority. Perhaps state and federal resources can be tapped to support this effort on a local level. Mutual Aid, especially in the fire response function, works extremely well in California, and it would be well to encourage this in all functions of emergency management.",6.018923759,3.298801661
1600,Emergency planning & community safety,Wildfire preparedness,It seems the perfect time to coordinate these plans while the area is planning for rebuilding.,5.284455776,3.868857622
1689,Emergency planning & community safety,Wildfire preparedness,"this should be focused on prevention and rebuilding in such a way as to create resilience, not rebuilding in the old way then creating warning systems to alert us when history repeats itself.",6.220906734,3.737971306
1701,Emergency planning & community safety,Emergency warning systems,"In 2025, it is silly to rely on a 3rd party like Watchduty to share critical wildfire and disaster information with residents. It is also silly that data standards and governance between FDs and emergency agencies are not standardized leading to headaches when building effective, digital emergency info tools. State should really prioritize efforts in digital tooling and notifications to prepare for the next wildfire season.",7.256316662,2.602908611
1705,Emergency planning & community safety,Wildfire preparedness,We live in an incredibly innovative state and have some of the best technology available - let's bring those amazing resources together to rethink these systems,5.955306053,3.090680838
